feature_0,feature_3,feature_10,feature_40,feature_68,feature_70,feature_86,feature_89,feature_95,feature_100,feature_113,feature_123,feature_143,feature_150,feature_168,feature_187,feature_213,feature_242,feature_244,feature_251,feature_252,feature_268,feature_289,feature_291,feature_294,feature_296,feature_300,feature_323,feature_332,feature_335,feature_377,feature_428,feature_437,feature_438,feature_469
0,2,2,7,8254,50,1057,3,11,2,0,0,0,7,0,1,0,758,51,8,775,0,3,2,112,111,46,27,716,2816,1,95,22,0,25
17,3,3,14346,5465,37,63,2,28,2,4,0,9,7,0,1,0,69,55,69,28753,1,12,3,78,228,12,5,614,20,6,2,54,0,31658
8,3,15,97,68,125,34,2,399,2,2,0,2,6,0,1,2,31,32,378,58,1,3,3,61,125,22,125,603,31,33,6,135,1,3
57,6,12,97,22317,634,3550,14,297,2,14,1,23,8,0,3,0,2922,135,3594,2971,13,23,6,292,414,150,99,2017,215,1,228,153,1,59
18,3,3,14712,5733,40,62,6,12,2,4,0,10,7,0,1,0,69,60,61,29465,1,17,3,91,227,25,6,613,16,1,6,59,0,31574
2,2,2,3,35,21,16,0,5,2,2,0,0,6,0,1,0,16,20,9,31,1,3,2,54,83,21,21,596,0,1,48,19,0,7
1,7,6,45,342193,2103,56979,7,666,2,0,1,1,8,0,3,0,55847,66,875,55844,7,16,7,218,308,71,6,4623,129,85,35,63,0,69
11,3,9,37,305,61,25,3,207,2,1,0,5,6,0,3,1,35,37,400,139,0,3,3,62,139,29,48,24,4,9,19,65,1,8
9,3,3,6,170,73,27,2,41,2,2,0,0,5,0,1,0,37,34,39,54,3,4,3,42,150,6,1,645,7,10,2,33,0,171
17,3,3,22,5158,41,63,2,40,2,4,0,9,7,0,1,0,68,53,37,35292,1,11,3,75,215,12,5,613,23,12,6,53,0,30816
10,2,2,13,71,22,21,1,5,2,2,0,5,5,0,1,0,30,31,16,43,0,19,2,44,134,5,1,595,2,5,1,26,0,24
11,2,2,33,954,33,497,14,7,2,2,0,5,7,0,1,2,37,45,10,53,0,3,2,119,148,61,11,786,732,361,82,50,0,28
13,3,3,8,228,47,87,2,6,2,2,0,7,7,0,1,0,69,53,18,84,1,4,3,78,170,18,5,631,24,17,29,75,0,18
1,0,1,3,16,19,4,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,59,2,1,592,0,1,0,11,0,4
0,5,73,45,107136,1545,17253,1,723,2,0,1,0,8,0,3,0,4130,47,3685,4074,0,58,5,435,383,271,74,9482,1071,361,431,82,0,3996
0,3,3,34,442,47,50,2,10,2,0,0,0,7,0,1,0,61,32,5,65,0,4,3,117,131,47,34,37,84,1,188,22,0,23
0,2,3,1,1014,46,228,0,0,0,0,5,0,1,0,0,0,149,70,43,198,0,0,2,53,91,47,44,296,272,0,114,20,0,3
10,8,39,181,62012,1934,7152,21,589,2,0,3,10,29,0,8,0,3444,509,6219,3406,0,22,8,692,991,429,256,5961,1522,370,6174,128,1,786
0,2,2,7,9958,50,1312,3,11,2,0,0,0,7,0,1,0,901,48,8,918,0,3,2,109,108,46,27,858,3394,1,95,22,0,21
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,591,0,1,0,11,0,4
12,3,8,27,367,173,40,0,182,2,2,0,0,5,0,1,0,40,25,133,49,0,3,3,52,216,12,31,778,10,13,0,53,1,25
11,2,2,33,914,33,464,14,7,2,2,0,5,7,0,1,2,36,42,10,52,0,3,2,122,146,61,11,785,732,361,82,50,0,27
9,3,3,6,170,73,27,2,41,2,2,0,0,5,0,1,0,37,33,39,54,2,4,3,42,150,6,1,645,7,10,2,33,0,171
18,3,3,22,5167,41,61,2,40,2,4,0,11,8,0,1,0,68,54,37,33658,0,11,3,78,230,12,5,613,19,12,6,53,0,30052
1,0,1,3,16,19,4,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,592,0,1,0,11,0,4
9,7,116,159,110164,5453,21183,53,1091,2,2,1,0,8,0,3,3,7739,194,7448,7789,1,46,7,1221,746,739,124,16246,2146,499,377,562,0,688
2,5,34,171,25686,754,4393,6,796,2,2,1,0,8,0,3,0,3693,78,893,3704,0,14,5,243,296,101,202,2138,43,1,75,231,1,521
0,2,2,3,16,18,3,0,5,2,0,0,0,4,0,1,0,9,17,3,19,0,3,2,32,28,2,1,16,0,1,0,11,0,9
6,2,2,5,2280,105,336,3,17,2,2,0,0,7,0,1,2,265,101,17,268,0,3,2,283,338,211,159,704,311,3,548,45,0,45
1,0,1,3,16,19,4,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,592,0,1,0,11,0,4
11,2,2,33,933,33,487,14,7,2,2,0,5,7,0,1,2,35,42,10,51,0,3,2,119,145,61,11,785,732,361,82,50,0,26
23,17,57,548,46348,549,8908,103,1524,2,2,15,15,9,0,67,2,5355,189,1244,5421,0,70,21,517,769,394,410,2187,12134,27,218,567,1,230
11,2,2,33,935,33,485,14,7,2,2,0,5,7,0,1,2,35,41,10,51,0,3,2,119,145,61,11,785,732,360,82,50,0,26
0,2,3,9,3562,150,908,6,32,2,0,0,0,13,0,1,0,418,206,41,423,0,5,2,301,218,230,145,322,1113,361,365,60,0,77
3,5,5,45,6593,583,1277,1,190,2,2,1,1,11,0,3,0,464,55,351,464,0,21,5,180,259,41,11,2123,62,1,20,72,0,28
3,5,5,45,7177,554,1436,1,192,2,2,1,1,11,0,3,0,519,55,349,518,0,24,5,179,260,41,11,2119,60,1,20,72,0,29
0,2,2,7,9204,52,1200,3,11,2,0,0,0,7,0,1,0,837,48,8,854,0,3,2,113,108,48,29,796,3137,1,102,22,0,21
0,3,3,19,1928,49,700,3,7,2,0,0,0,7,0,2,0,189,22,8,200,0,4,3,113,215,51,35,284,924,361,114,48,0,18
5,3,9,27,209,166,49,3,133,2,2,0,1,7,0,1,0,44,40,238,74,1,3,3,111,153,46,56,615,111,105,71,56,1,10
2,3,3,16,4505,259,494,2,64,2,2,0,0,7,0,1,0,578,183,13,481,0,8,3,131,391,72,6,765,413,2,48,37,0,23
4,2,2,5,29360,32,30,1,6,2,0,0,4,7,0,1,0,43,1480,24,5970,1966,3,2,89,198,49,41,23,13,9,113,30,0,63
9,3,15,97,74,133,38,2,399,2,2,0,2,6,0,1,2,33,34,374,60,1,3,3,61,127,22,125,605,28,29,6,135,1,3
6,2,2,5,3582,88,485,3,20,2,2,0,0,8,0,1,2,408,102,19,412,0,3,2,322,449,253,215,676,447,1,654,45,0,50
5,4,3,27,5763,563,1045,5,85,2,1,1,2,8,0,3,2,461,563,831,871,55,11,4,205,313,69,6,1958,143,1,24,480,0,35
28,3,22,127,240,133,62,1,564,2,4,0,0,5,0,1,8,63,40,474,72,2,3,3,60,158,18,163,606,1,3,1,180,1,80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,8,14045,611,2198,1,223,2,0,0,0,7,0,1,0,3118,889,229,3726,0,4,3,274,1510,187,7,135,1580,1,156,970,0,989
33,6,3,201,1400,206,136,2,34,2,2,13,9,7,0,104,9,131,105,1264,130,0,58,6,152,304,59,30,519,88,1,74,77,0,153
6,2,2,5,2257,107,324,3,19,2,2,0,0,7,0,1,2,261,101,17,264,0,3,2,283,333,211,159,702,304,3,548,45,0,45
11,3,2,75,2538,81,1016,0,37,2,6,0,1,7,0,1,0,391,126,19,432,2,3,3,113,264,39,29,715,875,361,170,81,0,17
25,3,19,107,193,110,46,1,446,2,4,0,0,5,0,1,7,52,31,373,58,1,3,3,49,158,13,136,603,1,3,1,151,1,51
10,2,2,13,92,22,21,1,5,2,2,0,5,5,0,1,0,30,33,16,43,0,19,2,44,160,5,1,595,2,5,1,26,0,4
0,0,1,3,13,18,4,0,5,2,0,0,0,4,0,1,0,9,12,3,21,0,3,0,32,20,2,1,16,0,1,0,11,0,0
5,3,9,27,203,159,46,3,133,2,2,0,1,7,0,1,0,42,38,237,71,1,3,3,111,161,46,56,615,110,104,71,56,1,10
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,591,0,1,0,11,0,4
0,2,3,1,1023,46,224,0,0,0,0,5,0,3,0,0,0,154,614,43,203,0,0,2,59,93,47,44,296,276,0,114,20,0,4
4,4,4,12,140,95,30,2,43,4,0,0,3,7,0,1,0,40,38,11,54,1,14,5,232,330,55,6,115,9,3,22,52,1,16
11,3,2,75,2557,79,1027,0,35,2,6,0,1,7,0,1,0,390,128,19,431,2,3,3,107,265,39,29,718,880,361,170,81,0,32
9,5,5,51,6384,871,1239,7,188,2,0,1,0,8,0,3,0,493,87,372,474,0,19,5,252,398,71,11,2064,266,17,124,81,0,106
0,0,1,3,26,18,3,0,5,2,0,0,0,4,0,1,0,9,25,3,19,0,3,0,32,39,2,1,16,0,1,0,11,0,4
0,3,2,14,213,48,77,6,15,0,0,0,0,4,0,2,0,69,49,44,113,0,7,3,83,116,29,2,210,0,1,6,35,0,15
17,3,3,13862,6202,40,61,6,12,2,4,0,9,7,0,1,0,69,58,61,27765,1,17,3,91,224,25,6,612,16,1,6,59,0,30879
1,0,1,3,16,19,4,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,592,0,1,0,11,0,4
10,4,3,23,14137,58,197,7,74,2,2,1,4,8,0,3,0,154,87,26,6062,1968,11,4,190,380,81,49,667,105,1,218,50,0,33
6,2,2,5,1698,93,288,3,22,2,2,0,0,7,0,1,2,252,112,20,258,0,3,2,252,431,180,139,667,229,1,553,49,0,51
8,7,7,55,6658,804,1298,7,199,2,0,3,3,9,0,3,0,436,69,406,433,0,29,7,297,463,139,75,2009,126,1,306,90,0,51
12,3,3,14,4792,93,1814,2,64,4,0,0,0,5,0,1,0,937,41,2681,959,1,14,4,204,340,43,2,987,0,1,3,41,1,46
0,3,2,14,206,48,72,6,15,0,0,0,0,4,0,2,0,67,49,44,111,0,7,3,83,114,29,2,207,0,1,6,35,0,15
9,3,3,6,167,73,27,2,41,2,2,0,0,5,0,1,0,37,35,39,54,2,4,3,42,149,6,1,645,7,10,2,33,0,171
17,3,3,14612,5710,40,64,6,12,2,4,0,9,7,0,1,0,69,58,61,29265,1,17,3,91,226,25,6,614,16,1,6,59,0,30007
28,5,80,82,197779,2777,43729,23,1046,2,2,1,18,9,0,3,0,9148,158,9760,9071,0,31,5,826,717,535,73,25639,1330,51,388,186,0,380
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,591,0,1,0,11,0,4
11,3,2,75,1260,71,595,0,35,2,6,0,1,7,0,1,0,128,120,17,168,2,3,3,83,173,16,11,863,760,361,103,75,0,11
16,3,3,22,4848,41,62,2,40,2,5,0,8,7,0,1,0,68,54,37,34109,1,11,3,75,223,12,5,613,23,12,6,53,0,30469
11,2,2,33,937,33,482,14,7,2,2,0,5,7,0,1,2,35,42,10,51,0,3,2,119,144,61,11,786,732,361,82,50,0,28
11,3,2,75,2600,80,1039,0,36,2,6,0,1,7,0,1,0,398,128,19,440,2,3,3,110,273,39,29,724,887,361,170,81,0,33
6,2,2,5,3707,107,516,3,20,2,2,0,0,8,0,1,2,429,101,21,433,0,3,2,322,389,253,215,704,466,3,654,45,0,46
10,2,2,13,71,22,21,1,5,2,2,0,5,5,0,1,0,30,31,16,43,0,19,2,44,133,5,1,595,2,5,1,26,0,24
4,4,4,12,143,95,30,2,43,4,0,0,3,7,0,1,0,39,39,11,53,1,14,5,229,331,55,6,115,9,3,48,52,1,16
10,2,2,13,92,22,21,1,5,2,2,0,5,5,0,1,0,30,31,16,43,0,19,2,44,160,5,1,595,2,5,1,26,0,4
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,58,2,1,591,0,1,0,11,0,4
0,3,2,14,214,48,77,6,15,0,0,0,0,4,0,2,0,69,50,44,113,0,7,3,83,113,29,2,211,0,1,6,35,0,15
10,2,2,13,71,22,21,1,5,2,2,0,5,5,0,1,0,30,31,16,43,0,19,2,44,134,5,1,595,2,5,1,26,0,24
30,5,6,77,44176,1784,10644,21,195,2,2,1,0,9,0,3,0,2520,142,465,2504,0,19,5,371,609,115,11,8106,253,51,50,140,0,312
3,6,15,195,44516,930,10489,2,791,2,2,1,0,8,0,3,0,1976,59,1554,1971,1,19,6,303,367,126,221,6637,807,361,211,243,1,40
4,4,4,12,140,95,30,2,43,4,0,0,3,7,0,1,0,39,37,11,53,1,14,5,229,327,55,6,115,9,3,34,52,1,15
1,0,1,3,16,19,4,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,59,2,1,592,0,1,0,11,0,4
10,2,2,13,94,22,21,1,5,2,2,0,5,5,0,1,0,30,31,16,43,0,19,2,44,160,5,1,595,2,5,1,26,0,4
0,2,2,7,9441,50,1229,3,11,2,0,0,0,7,0,1,0,858,48,8,875,0,3,2,109,108,46,27,817,3221,1,95,22,0,25
13,9,7,93,1758,494,126,13,227,2,0,6,8,10,0,16,3,148,145,875,160,0,38,13,410,488,223,133,250,41,12,261,87,2,392
0,3,3,19,1930,49,708,3,7,2,0,0,0,7,0,2,0,192,23,8,203,0,4,3,116,214,51,35,288,924,361,112,48,0,19
11,3,2,73,2558,78,1022,0,34,2,6,0,1,7,0,1,0,392,124,19,433,2,3,3,110,248,39,29,721,883,361,170,79,0,17
17,3,3,14213,5907,37,64,2,28,2,4,0,9,7,0,1,0,69,54,69,28487,2,12,3,78,278,12,5,614,20,6,2,54,0,30533
0,2,2,5,518,53,134,21,28,2,0,0,0,7,0,1,0,126,97,30,191,4,3,2,189,184,136,64,86,45,1,91,65,0,198
11,3,2,75,2521,79,1010,0,35,2,6,0,1,7,0,1,0,384,121,19,426,2,3,3,110,272,39,29,715,872,361,170,81,0,33
9,3,3,6,169,73,27,2,41,2,2,0,0,5,0,1,0,37,33,39,54,2,4,3,42,149,6,1,645,7,10,2,33,0,171
6,2,2,5,2304,105,335,3,17,2,2,0,0,7,0,1,2,262,101,17,265,0,3,2,280,342,211,159,702,308,3,548,45,0,44
3,4,4,58,5813,169,678,10,290,2,1,2,1,11,0,6,0,388,70,334,378,0,25,2,257,384,91,30,961,983,29,133,63,0,94
2,3,17,87,288,94,28,38,386,2,2,0,0,5,0,2,0,37,68,355,60,0,3,3,153,206,120,112,597,0,1,38,133,1,5
7,3,2,20,722,57,162,5,74,2,4,1,0,7,0,3,0,91,56,22,95,1,10,3,112,199,42,25,713,5,5,69,25,0,40
11,3,9,211,314,233,26,1,800,2,1,0,5,6,0,3,1,35,37,731,49,0,3,3,149,137,110,222,25,2,9,17,239,1,5
12,3,3,8,229,47,88,2,6,2,2,0,6,7,0,1,0,69,51,18,84,1,4,3,78,169,18,5,632,24,17,17,74,0,18
11,3,2,131,1757,186,619,0,484,2,6,0,1,7,0,1,0,136,122,298,169,2,3,3,84,206,16,11,901,876,473,103,75,0,21
7,0,11,41,161,114,13,6,227,2,1,5,4,4,0,1,1,29,28,198,38,0,8,0,68,152,23,46,681,4,5,6,57,1,82
74,4,3,54,3478,87,195,16,26,2,17,0,31,7,0,1,0,172,107,3894,277,24,22,4,158,233,92,22,681,125,1,124,109,0,23
1,0,1,3,16,19,4,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,592,0,1,0,11,0,4
17,3,3,13836,6018,40,64,6,12,2,4,0,9,7,0,1,0,69,60,61,27713,1,17,3,91,204,25,6,614,16,1,6,59,0,30179
6,2,2,5,1845,91,309,3,22,2,2,0,0,7,0,1,2,259,112,20,266,0,3,2,251,419,179,139,683,260,1,553,49,0,52
0,0,1,3,53,18,2,0,5,2,0,0,0,4,0,1,0,7,14,3,18,0,3,0,34,49,4,2,16,0,1,0,9,0,8
11,2,2,33,940,33,485,14,7,2,2,0,5,7,0,1,2,35,41,10,51,0,3,2,119,134,61,11,786,732,361,82,50,0,27
6,2,2,5,2697,97,342,3,18,2,2,0,0,7,0,1,2,265,102,21,268,0,3,2,283,337,211,159,698,307,3,548,45,0,45
2,3,17,87,290,94,28,38,386,2,2,0,0,5,0,2,0,37,68,355,60,0,3,3,153,202,120,112,597,0,1,38,133,1,5
0,2,3,1,1030,46,211,0,0,0,0,5,0,5,0,0,0,143,73,36,188,0,0,2,54,81,48,45,290,256,0,115,20,0,8
16,9,10,471,1445,222,158,202,246,6,2,7,5,11,0,7,5,123,252,663,134,0,54,11,1068,970,725,52,336,67,8,418,492,3,84
0,2,4,6,17239,116,2971,3,28,2,0,0,0,7,0,1,0,2022,224,18,2576,0,13,2,179,236,106,53,1242,5501,337,201,48,0,70
0,3,3,6,99,19,29,1,5,2,0,0,0,5,0,1,0,27,30,9,46,0,4,3,35,168,5,1,22,0,1,1,29,0,3
9,3,3,6,166,73,27,2,41,2,2,0,0,5,0,1,0,37,35,39,54,2,4,3,42,150,6,1,645,7,10,2,33,0,171
16,2,2,23,91,22,34,1,5,2,4,10,7,5,0,1,0,36,39,19,53,0,39,2,44,138,5,1,602,2,5,1,30,0,3
1,0,1,3,16,19,4,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,592,0,1,0,11,0,5
5,3,9,27,204,160,48,3,133,2,2,0,1,7,0,1,0,42,38,238,71,1,3,3,111,151,46,56,616,111,105,71,56,1,10
7,8,6,59,1115,77,168,11,89,8,0,3,3,8,0,3,2,109,53,51,110,0,54,11,161,395,51,9,189,84,1,31,38,0,133
5,4,3,31,5406,534,949,6,85,2,1,1,2,8,0,3,2,382,524,803,742,39,11,4,210,315,74,6,1889,164,1,25,429,0,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,3,16,19,4,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,59,2,1,592,0,1,0,11,0,4
14,3,3,8,228,47,87,2,6,2,2,0,8,7,0,1,0,69,53,18,84,1,4,3,78,170,18,5,631,24,17,33,74,0,18
10,2,2,13,94,22,21,1,5,2,2,0,5,5,0,1,0,30,31,16,43,0,19,2,44,160,5,1,595,2,5,1,26,0,4
0,2,2,7,9774,50,1263,3,11,2,0,0,0,7,0,1,0,889,48,8,906,0,3,2,112,109,46,27,846,3340,1,95,22,0,22
9,3,3,6,163,73,28,2,41,2,2,0,0,5,0,1,0,37,33,39,54,2,4,3,42,149,6,1,646,7,10,2,33,0,171
17,3,3,14357,5797,40,64,6,12,2,4,0,9,7,0,1,0,69,61,61,28753,1,17,3,91,209,25,6,614,16,1,6,59,0,30267
0,2,2,5,878,32,462,0,8,2,0,0,0,7,0,1,0,30,22,4,42,0,3,2,76,90,21,14,204,732,361,63,15,0,2
6,2,2,5,1789,91,298,3,22,2,2,0,0,7,0,1,2,252,111,20,259,0,3,2,251,436,179,139,670,231,1,553,49,0,51
1,0,1,3,16,19,4,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,592,0,1,0,11,0,4
6,2,2,5,3544,85,482,3,20,2,2,0,0,8,0,1,2,400,102,19,406,0,3,2,317,427,251,215,678,433,1,654,45,0,49
9,3,3,118,2403,1407,19,53,6,2,0,0,0,6,0,1,2,32,174,284,143,1,8,3,697,423,391,107,1588,48,138,57,678,0,462
0,8,36,146,197395,1622,38608,11,801,2,0,2,0,26,0,7,0,33414,115,2374,33362,0,22,11,552,533,366,235,5981,1689,5,842,204,1,169
11,3,9,37,302,61,24,3,207,2,1,0,5,6,0,3,1,35,37,397,138,0,3,3,62,142,29,48,23,4,9,19,65,1,8
18,3,3,14699,5790,38,64,2,28,2,4,0,10,7,0,1,0,69,56,69,29459,1,12,3,78,237,12,5,614,20,6,2,54,0,33104
12,3,3,14,4609,93,1804,2,64,4,0,0,0,5,0,1,0,933,38,2668,955,1,14,4,203,310,45,2,981,0,1,3,41,1,31
2,0,2,19,19,28,8,1,61,2,2,0,0,4,0,1,0,11,17,61,22,0,3,0,38,98,7,19,593,0,1,1,32,1,29
16,3,3,14465,6292,40,63,6,12,2,4,0,8,7,0,1,0,71,59,61,28974,1,17,3,91,217,25,6,613,16,1,6,59,0,27259
0,2,2,7,9632,50,1242,3,11,2,0,0,0,7,0,1,0,876,48,8,893,0,3,2,109,108,46,27,835,3293,1,95,22,0,22
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,591,0,1,0,11,0,4
14,3,3,8,230,47,89,2,6,2,2,0,8,7,0,1,0,69,51,18,84,1,4,3,78,170,18,5,633,24,17,31,74,0,18
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,55,2,1,591,0,1,0,11,0,4
0,8,6,50,265113,2183,55896,8,214,2,0,1,0,18,0,3,0,40165,87,5407,40132,0,18,8,1361,340,1177,162,8950,4104,2,196,87,0,85
28,3,20,117,244,125,62,1,518,2,4,0,0,5,0,1,8,62,38,438,71,2,3,3,54,171,18,149,605,1,3,1,167,1,77
17,3,3,14716,5560,40,64,6,12,2,4,0,9,7,0,1,0,69,59,61,29473,1,17,3,91,205,25,6,614,16,1,6,59,0,29858
19,3,3,14189,5832,37,64,2,28,2,6,0,9,7,0,1,0,69,55,69,28439,1,12,3,78,226,12,5,615,20,6,2,54,0,31244
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,591,0,1,0,11,0,4
2,2,2,5,60,30,23,0,6,2,2,0,0,7,0,1,0,23,20,4,42,1,3,2,61,113,8,2,605,8,1,0,21,0,8
11,3,9,217,327,241,25,3,837,2,1,0,5,6,0,3,1,35,36,760,49,0,3,3,152,137,119,228,24,4,9,19,245,1,5
11,3,9,33,314,55,26,3,185,2,1,0,5,6,0,3,1,35,36,381,138,0,3,3,60,136,27,44,25,2,5,19,61,1,9
16,3,3,14102,5926,37,63,2,28,2,4,0,9,7,0,1,0,69,55,69,28265,0,12,3,78,222,12,5,614,20,6,2,54,0,32733
16,2,2,23,90,22,33,1,5,2,4,10,7,5,0,1,0,36,39,19,53,0,39,2,44,137,5,1,601,2,5,1,30,0,3
13,3,3,8,229,47,88,2,6,2,2,0,7,7,0,1,0,69,51,18,84,1,4,3,78,170,18,5,632,24,17,37,74,0,18
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,591,0,1,0,11,0,4
16,3,3,14952,5276,40,63,6,12,2,4,0,8,7,0,1,0,69,58,61,29945,1,17,3,91,214,25,6,614,16,1,6,59,0,30574
0,2,2,5,858,32,442,0,8,2,0,0,0,7,0,1,0,29,19,4,41,0,3,2,71,88,19,14,204,732,361,61,15,0,2
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,591,0,1,0,11,0,4
1,0,1,3,14,19,3,0,5,2,1,0,0,4,0,1,0,9,14,3,19,0,3,0,32,56,2,1,591,0,1,0,11,0,5
11,2,2,33,915,33,459,14,7,2,2,0,5,7,0,1,2,35,42,10,51,0,3,2,119,144,61,11,785,732,361,82,50,0,27
11,2,2,33,936,33,481,14,7,2,2,0,5,7,0,1,2,35,42,10,51,0,3,2,119,144,61,11,786,732,361,82,50,0,28
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,56,2,1,591,0,1,0,11,0,4
18,3,3,14318,5697,39,65,2,28,2,4,0,9,7,0,1,0,69,55,69,28697,1,12,3,78,233,12,5,615,20,6,2,54,0,29338
2,2,4,5,9385,72,1274,2,21,2,2,0,0,7,0,1,0,908,92,13,917,0,15,2,146,256,64,37,1372,3113,3,121,34,0,101
20,8,8,160,3864,213,982,16,209,2,0,13,11,9,0,96,5,649,218,207,656,0,35,8,304,688,176,116,232,317,8,642,133,1,239
6,2,2,5,3654,83,502,3,19,2,2,0,0,8,0,1,2,416,96,19,420,0,3,2,322,434,250,215,677,469,1,654,45,0,47
19,3,67,393,2362,1073,34,0,2171,2,0,0,0,7,0,1,9,54,53,1076,58,1,3,3,326,259,253,616,751,55,48,93,476,1,78
4,2,2,5,681,59,145,0,13,2,2,0,0,7,0,1,0,124,78,55,161,0,3,2,119,178,39,25,644,108,1,96,49,0,42
2,3,17,87,286,94,28,38,386,2,2,0,0,5,0,2,0,37,68,355,60,0,3,3,153,206,120,112,597,0,1,38,133,1,5
5,3,9,27,197,149,45,3,133,2,2,0,1,7,0,1,0,42,38,220,71,1,3,3,111,162,46,56,613,97,91,71,56,1,10
1,0,1,3,15,19,3,0,5,2,1,0,0,4,0,1,0,9,15,3,19,0,3,0,32,58,2,1,591,0,1,0,11,0,4
0,3,2,7,7146,51,1903,0,12,2,0,0,0,7,0,1,0,868,58,21,871,0,3,3,110,221,41,28,474,2289,361,190,30,0,15
5,4,4,12,146,96,34,2,43,4,1,0,3,7,0,1,0,41,39,12,56,1,14,5,229,340,55,6,692,9,3,30,55,1,16
73,4,3,50,3408,88,202,16,26,2,17,0,31,7,0,1,0,186,119,3739,319,35,21,4,152,268,89,21,674,125,1,124,116,0,24
0,3,2,14,212,48,77,6,15,0,0,0,0,4,0,2,0,69,49,44,113,0,7,3,83,115,29,2,211,0,1,6,35,0,15
36,3,24,157,277,149,67,1,686,2,4,0,8,5,0,1,8,64,38,566,73,2,3,3,54,168,18,197,608,1,3,1,215,1,82
4,4,4,12,142,95,30,2,43,4,0,0,3,7,0,1,0,39,37,11,53,1,14,5,229,330,55,6,115,9,3,36,52,1,15
6,2,2,5,2380,93,223,1,14,2,2,0,0,13,0,1,2,191,79,12,193,0,3,2,255,419,182,154,666,227,3,447,37,0,34
13,3,3,8,228,47,87,2,6,2,2,0,7,7,0,1,0,69,51,18,84,1,4,3,78,170,18,5,631,24,17,29,74,0,18
17,3,3,14778,5391,36,65,2,24,2,4,0,9,7,0,1,0,69,57,69,29623,1,13,3,79,224,13,6,611,20,6,2,55,0,32398
1,2,2,5,28070,24,30,1,6,2,0,0,1,7,0,1,0,41,1490,10,5989,1974,3,2,85,201,46,41,24,9,5,113,28,0,9
0,2,3,1,985,46,202,0,0,0,0,5,0,5,0,0,0,137,70,36,182,0,0,2,54,80,48,45,284,244,0,114,20,0,7
0,2,3,1,987,46,222,0,0,0,0,5,0,4,0,0,0,150,70,43,199,0,0,2,53,87,48,44,291,264,0,114,20,0,4
5,4,4,12,156,96,39,2,43,4,1,0,3,7,0,1,0,43,41,12,58,1,14,5,229,322,55,6,695,9,3,30,59,1,16
2,5,34,171,25509,838,4354,6,796,2,2,1,0,8,0,3,0,3647,77,894,3655,0,14,5,251,298,102,202,2306,39,1,75,231,1,514
7,0,2,82,634,110,57,12,117,2,0,4,4,9,0,7,2,84,49,109,94,0,10,0,190,466,94,62,94,48,5,146,65,1,80
0,4,4,144,182,161,20,7,83,10,0,2,0,4,0,1,0,23,27,21,56,0,43,7,387,560,105,7,284,0,1,9,86,2,168
3,5,5,45,7218,560,1391,1,190,2,2,1,1,11,0,3,0,571,56,350,570,0,24,5,182,260,41,11,2065,64,1,20,72,0,30
0,7,3,8,228,36,22,1,9,2,0,0,0,7,0,1,0,36,52,11,47,0,5,10,110,212,54,43,29,10,3,100,29,0,58
1,6,5,46,18454,526,4198,1,213,2,0,1,1,8,0,3,0,685,47,1161,672,0,13,6,199,282,58,15,3098,860,361,108,70,0,79
16,2,2,23,88,22,31,1,5,2,4,10,7,5,0,1,0,36,41,19,53,0,39,2,44,138,5,1,599,2,5,1,30,0,3
9,3,3,6,169,73,27,2,41,2,2,0,0,5,0,1,0,37,33,39,54,2,4,3,42,150,6,1,645,7,10,2,33,0,171
